rec_id, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth, age, phone_number, soc_sec_id, blocking_number
rec-90-dup-0, joshua, nguyen, 1, condamine street, villa 235 henry kendall vlge, osborne park, 2037, wa, 19650123, 7, 08 85963090, 5546833, 2
rec-360-org,   jacob, rake, 6, newman morris circuit, , boulder, 3797, nsw, 19320925, 42, 04 68440129, 4827352, 3
rec-263-dup-0, abbeh, wiseman, 277, yantara street, ronobri, suffolk park, 4178, nsw, , 20, 04 89236787, 1047116, 9
rec-81-dup-0, michael, pracy, 6, swift place, , port broughton, 3690, ql, , , 03 65124409, 7952140, 9
rec-451-dup-0, adela, hearn, 11, duggan street, tweed heritage crv, ballan, 4500, vic, 19659307, , 04 83073827, 6847744, 5
rec-447-dup-0, chloe, crooz, 24, yirawala street, , emerald, 2756, vic, 19440115, 40, , 8449368, 2
rec-21-org,   jacob, sydenham, 57, lance hill avenue, , westmead, 4111, nsw, 19140930, , 07 21639876, 4264283, 4
rec-478-org,   nicholas, hand, 87, steinwedel street, , golden grove, 3023, vic, 19871202, 34, 07 55200856, 9596008, 7
rec-235-org,   edward, witty, 35, moodie street, , cooks hill, 5203, sa, 19931230, 38, 08 46581535, 5809172, 9
rec-235-dup-0, edward, witty, 31, moodie street, , cooks hill, 5203, sa, 19931230, 38, 08 46581535, 5809172, 9
rec-422-org,   kaitlyn, perriam, 76, messenger street, , killara, 3218, qld, 19500821, , 08 20555330, 1454397, 7
rec-130-org,   kobe, coleman, 21, masonic retirement vlge, avenel, seymour, 4059, nsw, 19650120, 11, 08 75713491, 4328889, 0
rec-128-dup-0, ethan, elavanalthoduka, 31, glossop crescent, , petrie, 2197, act, 19970101, 31, 07 97685958, 7749850, 9
rec-484-dup-0, callum, menzies, 3, browne place, , naracoorte, 3364, nsw, 19320607, 20, 04 21716726, 5870906, 8
rec-327-org,   georgina, campbell, 5, tristania street, , surry hills, 3161, vic, , 27, 04 48663785, 7217993, 8
rec-360-dup-0, jacob, rake, 6, newman morris circuit, , bouder, 3797, nsw, 19320925, 42, 04 68440129, 4827352, 3
rec-424-org,   alexander, petersen, 114, macpherson street, , spotswood, 4670, nsw, 19901118, , 03 09474879, 7467718, 4
rec-466-org,   konstantinos, pettingill, 16, nott street, , greensborough, 2370, nsw, , 31, , 1241914, 5
rec-341-dup-0, edward, leong, 10, arabana street, , thornbury, 3850, vic, 19800605, 23, 07 21497060, 2782925, 7
rec-74-dup-0, zachary, mcgregor, 459, victory place, , forrestfield, 3925, wq, 19760117, 35, 03 79529551, 1594008, 7
rec-278-org,   blake, eyles, 14, bangalay crescent, , keilor east, 3875, qld, 19330713, 29, 08 11452084, 5033114, 5
rec-105-dup-0, dante, krollig, 40, dent place, rocklands, carlingford, 3137, , 19380909, 22, 07 21159243, 3497968, 5
rec-296-dup-0, emiily, dakis, , curtis place, willaroo, east frenantle, 2777, , 19490414, 33, 02 50572025, 7647231, 9
rec-441-org,   oscar, paterson, 4, endeavour street, , marsfield, 5108, nsw, 19360709, , 04 75857574, 3148598, 0
rec-280-org,   gabriella, longo, 7, shackleton circuit, , campbelltown, 3166, wa, 19160224, 27, 03 05072674, 9831621, 5
rec-354-dup-0, lachlan, reid, 88, currey street, , cherter hill, 4161, nsw, 19250403, 21, 02 77025082, 7052090, 9
rec-162-org,   isabella, timperon, 55, dowthwaite street, gogulger stock, ulverstone, 3107, vic, 19430102, 20, 04 91010566, 4058251, 8
rec-438-org,   shenae, ryan, 23, yuranigh court, , dilston, 5046, sa, 19320406, , 02 93711904, 7602972, 4
rec-100-org,   liam, bishop, 143, davitt close, cohors, armidale, 2250, vic, 19050409, 32, 07 62736942, 8832574, 6
rec-318-org,   tess, , 8, swinden street, , goornong, 3182, nsw, 19581208, 7, 07 30935414, 1464454, 8
rec-492-org,   jean-claude, gartlan, , bromley street, , port douglas, 3550, , 19260712, 11, 02 82646079, 6618426, 4
rec-295-dup-0, luke, burford, 10, callaghan street, , lavington, 2229, wa, 19440831, 28, 04 28909501, 4563054, 1
rec-253-org,   harrison, morrison, 16, colebatch place, , paralowie, 2075, qld, 19720803, 37, 04 21065039, 4601094, 2
rec-457-org,   harrison, feeney, 4, lachlan street, , north sydney, 3810, vic, 19300901, 35, 03 34116730, 2616760, 2
rec-94-dup-0, petreece, burgar, 14, castletonccrescent, , oakleigh, 4217, sa, 19950705, 29, , 1550509, 2
rec-66-dup-0, kiana, fitzpatrick, 28, foveaux street, rimrock, oakhurst, 2164, qld, , 10, 08 07239157, 9572507, 9
rec-42-dup-0, mitchell, white, 4, majura avenue, mayfair, mount ommaney, 3038, vic, 19920880, 30, 02 07996106, 5569386, 0
rec-367-org,   vanessa, , 24, cutbush street, , dianella, 0880, nt, 19750109, , 02 81099514, 7181964, 3
rec-300-org,   isaac, nutter, 30, davies place, jalna (cnr barbato c corner, biggera waters, 3631, , 19930323, 43, 07 17862207, 5357199, 4
rec-361-org,   tahlia, grossman, 12, daplyn close, yengola, bonnet hill, 4113, qld, 19100714, 24, 04 29238262, 8825519, 5
rec-339-org,   brooke, jolly, 19, lowanna street, strawberry fields, west wollongong, 4670, nsw, 19550113, 36, 07 93434833, 8987574, 6
rec-156-org,   william, paterson, 28, , , hayborough, 4558, nsw, 19930714, 33, 03 45551427, 2216743, 9
rec-87-dup-0, sophie, de borzatti, 165, yalga close, msf 60, petersham, 4061, qld, 19280620, 24, 07 61886989, 5210635, 5
rec-181-org,   kirra, hoger, 7, badenoch crescent, , beachmere, 2652, , 19090511, 34, 08 08217732, 9108446, 4
rec-241-dup-0, simone, eight, 69, mackellar crescent, , corio, 3186, nsw, 19960117, 20, 08 61613389, 1132494, 7
rec-219-org,   hayden, klander, 68, meyers place, , norwood, 2150, sa, 19180417, 28, 04 23231593, 5698382, 9
rec-244-dup-0, samuel, etherinhgton, , nepean place, chelsea apartments, mount eliza, 4218, , 19211011, 26, 07 22434451, 8260417, 4
rec-8-dup-0, emiily, rocca, 7, crichton crescent, , singleton heights, 4851, nsw, 19491111, 12, 07 79049274, 8418726, 0
rec-110-dup-0, brayden, madigan, 136, wargi place, amherst village, parramatta, 3088, vic, 19464707, , 08 05688438, 1948492, 1
rec-28-dup-0, ethan, campbell, 32, archibald street, , rowville, 2204, wa, , 35, 03 78760017, 1614738, 0
rec-275-org,   garth, sterpin, 101, loftus street, carrington retrmnt vlge, st kilda east, 4107, nsw, 19700613, 28, 08 92389332, 9791512, 4
rec-23-org,   kyle, castleman, 33, scantlebury crescent, burnside, newstead, 4006, qld, 19881212, 34, 03 91166692, 6896822, 3
rec-141-org,   blake, verco, 70, paul coe crescent, the village condo 7, bonnells bay, 6059, vic, 19271209, , 03 24207918, 8516764, 0
rec-481-org,   samuel, everett, 29, pennington crescent, redlands, ivanhoe, 3250, nsw, , 33, 04 31656897, 8504359, 5
rec-210-dup-0, isabella, panahaki, 8, namatjira drive, terranora, winmalee, 4305, vic, 19980822, 32, 04 03573868, 2756666, 2
rec-477-org,   thomas, white, 184, mt warning crescent, , east fremantle, 3053, qld, 19621227, 38, 03 86956293, 7762980, 7
rec-189-dup-0, tarnia, boyle, 12, champion place, , waverley, 2285, vic, 19841114, , 07 81826314, 4107128, 8
rec-379-org,   charlotte, heenan, 24, , , normanhurst, 3037, , , 27, 07 53625007, 9033877, 1
rec-89-dup-0, elysse, dent, 157, gabi place, fairlight, cooma, 3053, nsw, 19200127, 27, 02 46890195, 9122656, 3
rec-101-org,   joshua, mcgregor, 58, mugga way, , mount warren park, 3555, tas, 19480226, 25, 08 31092560, 7978190, 9
rec-12-org,   olivia, beams, 1, aspinall street, manimba, findon, 0870, qld, 19600412, 34, 04 65405535, 5576866, 9
