rec_id, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth, age, phone_number, soc_sec_id, blocking_number
rec-2882-org,   stephanie, bowron, 9, creswell street, , bayswater, 3218, sa, 19861024, 28, 07 40011547, 7047797, 7
rec-2629-org,   hayley, mcgregor, 465, derrington crescent, , duncraig, 2795, wa, 19820105, 24, 02 15182291, 4189495, 9
rec-1799-org,   chloe, crossman, 15, , , rochedale south, 2034, wa, 19850813, 9, 04 62020425, 2101041, 5
rec-2059-org,   richard, reid, 19, gosman close, greater cess vill, adelaide, 4012, nsw, 19260630, 29, 03 91722221, 4300902, 6
rec-3410-org,   daniella, campbell, 4, gang gang court, , prospect, 2480, nsw, 19830503, 24, 03 66536797, 8288842, 1
rec-3480-org,   chloe, , 105, theodore street, , nedlands, 4340, vic, 19230606, 28, , 4018691, 1
rec-670-org,   lara, reid, 52, green street, , kellyville, 2115, vic, 19980103, 8, 08 07185841, 4509492, 5
rec-2892-dup-0, brooke, southgate, 4, mcdermott street, , greenwith, 2756, qld, 19611129, 19, 02 13053166, 2939769, 0
rec-1547-org,   benjamin, ryan, 11, chirnside circuit, blacklead farm, vermont, 0850, nsw, 19390513, 37, 08 55656078, 4528277, 4
rec-2213-org,   jake, lowe, 35, woralul street, , curl curl, 0828, vic, 19290605, 24, 02 70982994, 2202048, 9
rec-2152-org,   thomas, stephenson, 52, soutar place, , altona meadows, 5015, qld, 19401124, , 04 38978773, 8435911, 1
rec-235-dup-1, katelun, ebeet, 8, pinkerton circuit, , whyalla, 2440, vic, 19560214, , 07 54193801, 7873106, 5
rec-3414-org,   hattie, clarke, 25, denny street, kilfenora, willagee, 2745, wa, 19750417, 38, 02 25634986, 6520550, 3
rec-1486-org,   sophie, norgate, 40, mt warning crescent, , mill park, 2650, sa, 19090516, 11, 03 88683945, 5773785, 9
rec-3014-org,   jayden, nguyen, 54, parkin street, , padstow heights, 4152, vic, 19800801, 20, 07 95199572, 7428917, 2
rec-3232-org,   anika, paterson, 21, , , o'connor, 2546, nsw, 19571121, 29, 07 55101846, 5838155, 6
rec-133-dup-0, ruby, green, 6, foveaux street, , moorooka, 3155, wa, 19001222, , 02 93796501, 9961286, 1
rec-3418-org,   ella, gillard, 1064, larkin close, , taralga, 4570, nsw, 19060508, , 02 60028515, 9761166, 4
rec-2108-org,   lucy, creten, 29, glasgow street, , concord, 7250, wa, 19310228, 33, 02 47203186, 1667029, 9
rec-1857-org,   tahlia, cobuccio, 15, disney court, , emerald, 2087, wa, 19320229, 27, 03 25567977, 8125136, 3
rec-3156-org,   beau, kelley, , mathieson crescent, clarkbrae, royal park, 6060, nsw, 19800219, , 07 15045312, 4121151, 9
rec-1392-org,   jordan, mccarthy, 15, burraly court, , wahroonga, 2035, , 19830724, 30, 08 42001068, 7197474, 9
rec-1825-dup-1, wilkins, christian, 16, taronga place, , ringwood, 2525, nsw, , 38, 03 17264294, 6420247, 1
rec-2601-org,   sophie, sommariva, 18, spring range road, almerta, eastwood, 7030, vic, , , 03 66848060, 4366141, 0
rec-3402-org,   brianna, ferris, 18, lansell circuit, wilding, kelmscott, 3012, qld, 19190404, 41, 07 27892101, 1585609, 9
rec-1673-org,   callum, wyllie, 60, lambrigg street, , mosman, 2140, qld, 19320724, , 08 90047250, 3920281, 7
rec-3771-dup-0, timara, bishop, 54, bandjalong crescent, , nunawading, 3712, wa, 19930102, 25, 02 44588169, 1351661, 3
