rec_id, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth, age, phone_number, soc_sec_id, blocking_number
rec-4453-org,   brianna, berry, 26, harpur street, , hillside, 4873, nsw, 19461209, 30, 07 99909744, 4909246, 9
rec-3398-dup-0, connor, mccsrthy, 8, ross smith crescent, , , 6090, wa, 19190423, 23, 08 30145899, 7461841, 5
rec-3678-dup-0, emiily, hapt, 11, harcourt street, reinfrew park, bedford park, 5013, nsw, 19601229, 31, 02 86686102, 6245917, 0
rec-1836-org,   samantha, bristow, 19, sherbrooke street, , laverton, 2199, vic, 19430205, 31, 04 46221548, 5738374, 9
rec-2198-org,   indiana, hinchey, 12, augustus close, ballawinna stud, blue haven, 2228, vic, , 33, 04 97822686, 6997533, 0
rec-284-dup-0, zac, herbert, 8, currie vrescent, , box hill south, 2641, qld, 19140329, , 07 94101341, 1140649, 8
rec-2904-org,   harrison, jinmauliya, 126, molloy crescent, strathalynne, mermaid waters, 5107, wa, 19400701, , 04 33490040, 3984516, 8
rec-3189-dup-0, caitlin, colexgate, 29, postle ckrcuit, figtrees, richardson, 3131, nsw, 19890621, 40, 03 66926446, 7676101, 3
rec-2985-dup-0, vincent, herbert, 9, langridgemstreet, , melton suth, 5066, qld, , 27, 07 83796337, 2707910, 2
rec-3156-dup-0, max, webb, 157, macfarlanud crescent, , claytin, 3021, nsw, 19830274, , 02 21500596, 7629741, 7
rec-4995-dup-0, jacob, pitzen, 17, goyder xrgeet, , toormina, 3199, vic, 19230414, 33, 02 09542919, 9487279, 5
rec-358-dup-0, phoenix, mewett, 288, meehan gnaarden, , hamilton, 4064, qld, 19900606, 19, 07 58659167, 9401122, 6
rec-3224-org,   olivia, portors, 139, florence taylor street, north hill medical centre, macquarie fields, 2278, nsw, 19380813, 27, , 8908583, 6
rec-4085-org,   thomas, green, 1, jacobs street, , mulgrave east, 4157, nsw, 19120314, 34, 04 21409356, 3312178, 1
rec-2573-org,   erin, harrington, 25, langdon avenue, billabong cvn park, regents park, 4030, qld, , 31, 03 94321628, 6068182, 4
rec-2901-org,   alex, corbin, 73, ivo whitton circuit, royal brisbane hospital, ingleburn, 3128, nsw, 19130917, 28, 04 23437363, 2794728, 6
rec-254-org,   jayden, ryan, 164, mofflin street, , mount isa, 3250, vic, 19710818, 32, 03 07394962, 9490081, 1
rec-2646-org,   alessia, gillard, 471, discovery street, gwandalan, ramsgate, 2759, nsw, 19160720, , 04 08756322, 2517761, 6
rec-2724-org,   hugo, hathaway, 77, onslow street, minnawarra farm, normanhurst, 3108, sa, 19711031, 33, 03 47727910, 6324551, 9
rec-1259-org,   ella, furness, 4, bennett street, , ormond, 3101, vic, 19000620, 29, 04 67535614, 9493353, 1
rec-3088-org,   talena, carberry, 3, tolmer place, uralgurral, hermit park, 4350, qld, 19960125, , 08 40219414, 4808315, 7
rec-3502-dup-0, liana, buhagoar, 34, maclachlan street, ballow chambers, blacktown, 4871, ndw, 19540409, 26, 04 24894851, 7658445, 5
rec-698-org,   michael, dudgeon, 1, burkitt street, parry house, crossdale, 2039, qld, 19640605, 33, , 4544749, 6
rec-116-dup-0, luczs, kennerlyey, 518, fullerton crescent, cambri vlge, balwyn north, 2083, vic, 19520619, 26, 07 23654960, 4810938, 4
rec-1006-dup-0, katie, delvendiep, 32, deamer crescent, untx 52, ethelton, 3021, vic, 19281009, 32, 02 24401045, 8518436, 6
rec-2773-org,   rebecca, reece, 2, hogan place, , oatlands, 3192, sa, 19750818, , 03 86866321, 1079704, 4
rec-1679-dup-0, rebecca, shepherd, 282, street place, , dulwich hill, 3116, vic, 19090415, 38, 07 19497702, 2891435, 8
rec-3236-org,   troy, lamprey, 3, clement place, , carrara, 2117, vic, , , 04 92932980, 7848162, 7
rec-4232-dup-0, benjamin, , 1, kennedy street, glendas, annandale, , qld, 19278017, 26, 08 29770618, 6302921, 7
rec-3441-org,   callie, butt, , de grey place, , , 4812, qld, 19491112, , 02 49272852, 4174735, 9
rec-591-org,   dillon, fullgrabe, 40, coxen street, , lower templestowe, 2066, qld, 19101126, 39, 03 78236658, 2258667, 4
rec-3052-org,   angelica, clarke, 20, langdon avenue, glengallan, cabramatta, 4031, qld, 19700802, , 07 75642838, 9816404, 6
rec-919-org,   luke, kounis, 3, eggleston crescent, , scarborough, 4556, nsw, 19980725, 33, 03 63370491, 7304865, 0
rec-875-org,   jasper, haberstich, 234, pringle street, broome vacation village, port augusta, 5290, qld, 19090630, 29, 07 98756307, 1612354, 6
rec-2007-dup-0, madlyn, nguyer, , wiburd street, brooklyn farm, castle cove, 5169, sa, 19770811, 31, 07 94042595, 8666370, 0
rec-2770-dup-0, xshi, campbwjl, 38, kater place, , scarborough, 2154, qld, 19770109, 11, 03 02786257, 2596803, 0
rec-405-dup-0, loukse, newberry, 99, port arthyt street, , cygnet, 4207, vic, 19710921, 31, 04 21721571, 7526679, 8
rec-117-org,   hayden, careless, 60, adam place, fairbank, narellan, 2360, nsw, 19821006, 32, 03 76299865, 7372801, 9
rec-3866-org,   ayla, hope, 10, davidson street, , mountain creek, 3941, vic, 19160904, 23, 08 89842088, 7184642, 9
rec-2239-dup-0, thonas, horkimgs, 1, mina wylie rescent, , burwood, 4007, qld, 19980329, 10, 04 15099333, 2207153, 5
rec-4506-dup-0, nacoya, reid, 23, mcnamaratreet, , modbury, 2220, sa, 19890815, 33, 07 04731297, 4837982, 5
rec-4653-dup-0, hannah, excelk, 186, percy crescent, gummy gully, new farm, 5008, nsw, 19261225, 31, 07 73638657, 9865810, 1
rec-1752-org,   liam, boyes, 38, lutana street, , stanmore, 4011, nsw, , 26, , 5533582, 7
rec-390-org,   reegan, cadman, 65, gonzaga place, ballarkona, figtree, 4575, nsw, 19351028, 26, 07 23461151, 1546652, 3
rec-577-org,   elizabeth, dmytriw, 100, abrahams crescent, yarrabee, salter point, 2505, nsw, 19740209, 25, 08 55555178, 8265094, 0
rec-1208-org,   benjamin, tulla, 39, mcbryde crescent, , page, 2747, qld, 19780207, 28, 03 21145809, 8378200, 1
rec-3965-dup-0, gracie, baselw, 69, stieglifz circuit, , valentine, 2680, tas, 19801113, , 07 02699721, 2324689, 3
rec-3437-dup-0, chelsea, laundt, 162, tyrrell circuit, , corio, 5127, , 19380329, 24, 08 55263525, 4853252, 2
rec-624-dup-0, india, weavr, 700, karuah street, , avondale heights, 6021, nsw, 19480700, 32, 08 40794708, 6070896, 5
rec-3390-dup-0, jarod, browe, 42, investigatr street, solitaire, bayswater, 3266, vic, 19921003, 26, 07 74802961, 7189778, 9
rec-1368-dup-0, laklynn, berry, 23, , eden park, forest hill, 2002, nsw, 19150414, 37, , 5235814, 3
rec-908-org,   eliza, lowe, 49, blamey crescent, trefusis, devonport, 6638, nsw, 19161228, 31, 03 73507720, 1923211, 7
rec-1073-org,   breony, bellchambers, 22, tyrrell circuit, berkeley village, ingham, 2707, sa, 19770823, 44, 08 97780377, 6924310, 6
